annotator,winner,loser,time
3328ff8e46a4593e,3ee3a43e4976bf93,b08e958f93d59d58,2015-09-20 15:29:40.943766
c577760eefe58589,2fa26e875c7ed590,8e522755c75d0bc4,2015-09-20 15:29:45.63915
00bb4bc73a29dc3e,cceca15bb4e5299a,421d0177cb7900d3,2015-09-20 15:29:51.510135
6ad2025ac8e4cefb,0388741d2158d6e1,7a910ff127ebe4a1,2015-09-20 15:29:56.089687
fd5cf7735586f324,e45b1c3ec372d088,f2c5c5af295a0c6c,2015-09-20 15:29:58.853933
ec9dace35114c00c,bdf35bb493dc82db,21107088ee6c1f73,2015-09-20 15:30:05.436104
99fdc2c956790cc8,94d60350a7e1b59a,ade653adda91b17f,2015-09-20 15:30:06.526155
5473c504b920a5c3,33fe406aa7ab77b0,476633ac74b4d6e5,2015-09-20 15:30:13.346139
b795a177aa039f0c,75e35522860c1e28,e45980ffaf976717,2015-09-20 15:30:14.012349
7a528f822855aa4a,21107088ee6c1f73,200cb75115f91643,2015-09-20 15:30:20.103233
9c073df1e723e040,37bef99795d3024c,bdf35bb493dc82db,2015-09-20 15:30:21.607291
c3397ec09f1d54a0,a51e406f8f84ab2e,744e89644c749f4c,2015-09-20 15:30:29.325629
b9798f718dba307d,d474540874b4c1e2,1af947192561366a,2015-09-20 15:30:31.245683
10d0244d8b52b675,f2c5c5af295a0c6c,37bef99795d3024c,2015-09-20 15:30:31.412267
f9c1aa7064a97cd0,21107088ee6c1f73,a51e406f8f84ab2e,2015-09-20 15:30:36.71955
29563bf3326794c3,26d4cb38ba02820a,fe9b6b37b42d3efd,2015-09-20 15:30:37.860251
202437035cc015e0,c22b9bda505b5749,96350fec3bdfb2cf,2015-09-20 15:30:39.677643
e57a46a75dab1208,62a9792d111c5f01,efd2e581c6a8523d,2015-09-20 15:30:44.863445
ace8318348020c58,33fe406aa7ab77b0,898e71d965aa47e6,2015-09-20 15:30:53.928551
f88f9d93adb682a4,dc9bba8ad4691996,41072ac6e2ddd5b9,2015-09-20 15:31:02.258379
9557c7b476bd24a9,ad43b54faaaee590,49e9890bd7cd8b98,2015-09-20 15:31:04.772432
476c030a96fa8439,0eabb6f9e432f01e,d74558ade362294b,2015-09-20 15:31:07.248759
357d867d1d0ddc0b,f2c5c5af295a0c6c,059fb328bd9a7106,2015-09-20 15:31:08.712964
bb43febd9fbb8fd9,21107088ee6c1f73,30a297f128baa987,2015-09-20 15:31:09.489356
331ff231a3186f34,37836a40aecc7b80,21107088ee6c1f73,2015-09-20 15:31:10.927117
